"Demographic component"	"Canton"	"Citizenship (category)"	"Sex"	"Age"	"2019"
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"84 years"	1335
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"85 years"	1195
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"86 years"	1104
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"87 years"	960
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"88 years"	875
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"89 years"	801
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"90 years"	695
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"91 years"	601
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"92 years"	509
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"93 years"	429
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"94 years"	355
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"95 years"	275
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"96 years"	223
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"97 years"	155
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"98 years"	114
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"99 years or older"	176
"Population on 31 December"	"Ticino"	"Citizenship (category) - Total"	"Woman"	"No indication"	0
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"Age - Total"	805098
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"0 years"	8372
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"1 year"	8689
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"2 years"	8630
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"3 years"	8805
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"4 years"	8607
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"5 years"	8720
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"6 years"	8692
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"7 years"	8800
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"8 years"	8540
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"9 years"	8926
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"10 years"	8957
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"11 years"	8737
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"12 years"	8814
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"13 years"	8746
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"14 years"	8730
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"15 years"	8691
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"16 years"	8573
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"17 years"	8775
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"18 years"	9555
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"19 years"	9965
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"20 years"	9977
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"21 years"	9765
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"22 years"	9980
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"23 years"	10087
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"24 years"	10256
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"25 years"	10302
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"26 years"	10511
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"27 years"	11185
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"28 years"	11738
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"29 years"	11624
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"30 years"	11611
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"31 years"	11961
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"32 years"	11766
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"33 years"	11622
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"34 years"	11526
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"35 years"	11383
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"36 years"	11400
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"37 years"	11853
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"38 years"	11668
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"39 years"	11854
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"40 years"	11504
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"41 years"	11554
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"42 years"	11670
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"43 years"	11286
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"44 years"	11591
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"45 years"	11817
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"46 years"	11764
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"47 years"	12148
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"48 years"	11917
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"49 years"	11765
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"50 years"	11662
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"51 years"	11673
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"52 years"	11779
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"53 years"	11925
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"54 years"	11884
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"55 years"	11869
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"56 years"	11556
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"57 years"	10969
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"58 years"	10113
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"59 years"	9885
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"60 years"	9550
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"61 years"	9193
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"62 years"	8714
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"63 years"	7963
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"64 years"	7579
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"65 years"	7219
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"66 years"	6988
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"67 years"	6813
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"68 years"	6767
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"69 years"	6774
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"70 years"	6751
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"71 years"	6862
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"72 years"	6938
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"73 years"	6739
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"74 years"	6364
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"75 years"	6266
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"76 years"	5958
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"77 years"	5521
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"78 years"	4772
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"79 years"	4284
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"80 years"	4081
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"81 years"	3868
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"82 years"	3594
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"83 years"	3365
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"84 years"	3215
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"85 years"	2975
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"86 years"	2704
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"87 years"	2451
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"88 years"	2208
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"89 years"	2084
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"90 years"	1679
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"91 years"	1425
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"92 years"	1127
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"93 years"	938
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"94 years"	806
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"95 years"	596
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"96 years"	406
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"97 years"	311
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"98 years"	208
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"99 years or older"	318
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Sex - Total"	"No indication"	0
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"Age - Total"	395189
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"0 years"	4311
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"1 year"	4470
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"2 years"	4375
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"3 years"	4436
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"4 years"	4391
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"5 years"	4483
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"6 years"	4439
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"7 years"	4519
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"8 years"	4314
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"9 years"	4525
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"10 years"	4678
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"11 years"	4445
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"12 years"	4577
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"13 years"	4504
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"14 years"	4502
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"15 years"	4408
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"16 years"	4440
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"17 years"	4519
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"18 years"	4962
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"19 years"	5110
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"20 years"	5029
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"21 years"	5044
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"22 years"	5158
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"23 years"	5195
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"24 years"	5355
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"25 years"	5349
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"26 years"	5355
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"27 years"	5563
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"28 years"	5915
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"29 years"	5947
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"30 years"	5736
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"31 years"	5948
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"32 years"	5985
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"33 years"	5808
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"34 years"	5688
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"35 years"	5725
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"36 years"	5683
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"37 years"	5863
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"38 years"	5850
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"39 years"	5869
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"40 years"	5782
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"41 years"	5723
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"42 years"	5773
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"43 years"	5521
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"44 years"	5643
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"45 years"	5865
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"46 years"	5824
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"47 years"	6028
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"48 years"	5791
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"49 years"	5800
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"50 years"	5736
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"51 years"	5727
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"52 years"	5909
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"53 years"	5915
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"54 years"	5918
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"55 years"	5909
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"56 years"	5713
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"57 years"	5512
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"58 years"	5051
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"59 years"	4951
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"60 years"	4722
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"61 years"	4512
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"62 years"	4348
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"63 years"	3935
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"64 years"	3763
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"65 years"	3442
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"66 years"	3281
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"67 years"	3210
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"68 years"	3119
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"69 years"	3092
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"70 years"	3034
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"71 years"	3118
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"72 years"	3122
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"73 years"	3060
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"74 years"	2967
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"75 years"	2807
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"76 years"	2609
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"77 years"	2453
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"78 years"	2075
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"79 years"	1804
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"80 years"	1749
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"81 years"	1602
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"82 years"	1483
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"83 years"	1361
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"84 years"	1295
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"85 years"	1123
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"86 years"	1004
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"87 years"	891
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"88 years"	787
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"89 years"	684
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"90 years"	557
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"91 years"	417
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"92 years"	323
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"93 years"	266
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"94 years"	199
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"95 years"	156
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"96 years"	102
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"97 years"	55
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"98 years"	44
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"99 years or older"	54
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Man"	"No indication"	0
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"Age - Total"	409909
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"0 years"	4061
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"1 year"	4219
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"2 years"	4255
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"3 years"	4369
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"4 years"	4216
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"5 years"	4237
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"6 years"	4253
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"7 years"	4281
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"8 years"	4226
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"9 years"	4401
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"10 years"	4279
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"11 years"	4292
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"12 years"	4237
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"13 years"	4242
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"14 years"	4228
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"15 years"	4283
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"16 years"	4133
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"17 years"	4256
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"18 years"	4593
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"19 years"	4855
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"20 years"	4948
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"21 years"	4721
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"22 years"	4822
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"23 years"	4892
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"24 years"	4901
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"25 years"	4953
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"26 years"	5156
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"27 years"	5622
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"28 years"	5823
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"29 years"	5677
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"30 years"	5875
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"31 years"	6013
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"32 years"	5781
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"33 years"	5814
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"34 years"	5838
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"35 years"	5658
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"36 years"	5717
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"37 years"	5990
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"38 years"	5818
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"39 years"	5985
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"40 years"	5722
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"41 years"	5831
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"42 years"	5897
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"43 years"	5765
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"44 years"	5948
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"45 years"	5952
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"46 years"	5940
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"47 years"	6120
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"48 years"	6126
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"49 years"	5965
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"50 years"	5926
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"51 years"	5946
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"52 years"	5870
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"53 years"	6010
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"54 years"	5966
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"55 years"	5960
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"56 years"	5843
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"57 years"	5457
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"58 years"	5062
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"59 years"	4934
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"60 years"	4828
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"61 years"	4681
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"62 years"	4366
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"63 years"	4028
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"64 years"	3816
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"65 years"	3777
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"66 years"	3707
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"67 years"	3603
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"68 years"	3648
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"69 years"	3682
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"70 years"	3717
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"71 years"	3744
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"72 years"	3816
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"73 years"	3679
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"74 years"	3397
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"75 years"	3459
"Population on 31 December"	"Vaud"	"Citizenship (category) - Total"	"Woman"	"76 years"	3349
